model,ckpt_path,member_id,corruption,param,severity,accuracy
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,clean,none,0.0,0.6897025541545425
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,gaussian,sigma,0.0,0.6897025541545425
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,gaussian,sigma,0.05,0.6890559327513741
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,gaussian,sigma,0.1,0.684691238279987
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,gaussian,sigma,0.2,0.6537342386032978
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,ch_dropout,p,0.0,0.6897025541545425
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,ch_dropout,p,0.1,0.6629485935984482
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,ch_dropout,p,0.3,0.5751697381183317
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,ch_dropout,p,0.5,0.4494018752020692
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_mask,L,0.0,0.6897025541545425
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_mask,L,5.0,0.6680407371483996
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_mask,L,10.0,0.6607662463627546
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_mask,L,20.0,0.6332040090526997
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_mask,L,40.0,0.4997575169738118
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_shift,k,0.0,0.6897025541545425
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_shift,k,2.0,0.6829130294212739
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_shift,k,5.0,0.6757193663110249
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_shift,k,10.0,0.659957969608794
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,2,time_shift,k,20.0,0.5802618816682832
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,clean,none,0.0,0.8316618911174785
federated_ft_m3,lstm\federated\federated_finetuned_member3.pt,3,gaussian,sigma,0.0,0.8316618911174785
